	GSM2912649	GSM2912650	GSM2912651	GSM2912652	GSM2912653	GSM2912654	GSM2912655	GSM2912656	GSM2912657	GSM2912658	GSM2912659	GSM2912660	GSM2912661	GSM2912662	GSM2912663	GSM2912664
A1BG	129	164	186	191	171	152	144	120	123	146	147	184	192	188	196	163
A1BG-AS1	107	148	167	180	134	140	120	106	117	129	135	108	129	139	167	138
A1CF	0	4	2	2	2	2	0	4	0	4	0	0	0	2	0	0
A2M	25417	23878	30167	33037	26280	25559	31192	28662	33142	24617	32469	31360	35647	35153	44746	31394
A2M-AS1	16	7	10	18	23	13	18	9	10	17	16	13	17	20	21	9
A2ML1	10	10	6	13	6	6	7	2	3	3	2	5	7	5	5	1
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0
A4GALT	282	306	321	312	349	339	321	260	322	332	294	309	421	381	539	323
A4GNT	0	0	1	1	0	0	1	1	0	0	3	0	1	0	0	0
AAAS	349	334	423	392	368	339	324	269	297	273	356	332	374	348	475	340
AACS	215	232	258	300	296	268	227	190	247	180	243	215	256	211	313	224
AACSP1	0	0	0	4	0	0	0	3	1	0	1	0	2	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	2	1	1	1	2	1	0	0	0	2	0
AADACL2-AS1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
AADACL3	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	7	2	13	2	12	10	1	3	6	6	7	8	5	10	5	7
AAGAB	564	447	564	644	576	546	638	622	621	535	690	611	708	812	864	539
AAK1	949	865	1199	1300	962	794	1293	818	1052	630	975	1250	1513	1197	1197	1039
AAMDC	34	41	45	56	42	59	53	27	64	32	44	51	49	48	69	58
AAMP	1419	1419	1577	1759	1751	1707	1459	1596	1499	1587	1553	1558	1704	1891	2428	1544
AANAT	16	3	14	5	3	5	9	0	3	1	3	4	1	8	8	2
AAR2	535	481	585	666	602	572	656	551	600	554	586	564	682	722	879	637
AARD	17	6	7	20	6	6	9	10	17	6	14	10	12	25	24	7
AARS1	2532	2504	2704	2943	2518	1946	2808	2060	3400	1806	2379	3395	3354	3538	3654	2391
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	572	527	673	668	668	590	558	514	610	472	624	633	680	694	992	582
AARSD1	178	167	200	250	160	195	90	138	236	141	190	151	151	229	320	234
AARSD1P1	3	2	2	0	2	0	4	0	0	4	4	1	2	0	1	2
AASDH	122	107	99	128	135	122	116	102	117	102	118	110	125	165	130	68
AASDHPPT	322	204	249	354	300	235	263	263	324	233	393	284	368	351	361	193
AASS	11	6	15	13	14	6	3	4	6	5	19	7	5	11	7	9
AATBC	7	10	14	14	12	14	4	3	7	2	5	4	5	9	8	4
AATF	606	713	807	847	768	780	677	740	819	636	819	741	871	979	1195	850
AATK	65	51	86	46	44	49	39	22	32	18	53	27	43	45	58	31
ABALON	15	8	0	5	23	4	11	0	0	0	22	0	0	22	5	0
ABAT	40	33	63	72	47	61	43	29	47	27	51	49	48	33	48	47
ABCA1	3899	3681	4555	4807	4253	3555	3621	3110	4121	2652	3779	3630	4070	3990	4528	3552
ABCA10	6	7	13	12	9	4	6	4	6	3	11	3	4	4	8	4
ABCA11P	28	36	30	52	37	51	47	27	41	19	52	33	41	25	10	33
ABCA12	0	0	2	3	1	4	3	0	1	0	1	3	1	2	2	6
ABCA13	58	46	44	41	67	46	37	29	35	35	30	25	29	45	45	32
ABCA17P	3	2	8	3	1	2	0	4	3	3	5	2	6	2	7	2
ABCA2	634	712	851	1021	934	821	972	813	930	793	900	883	1120	1101	1532	953
ABCA3	160	149	163	222	240	187	210	182	219	168	216	251	276	251	429	204
ABCA3P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4	2	4	4	5	5	3	2	3	2	3	4	3	1	2	6	1
ABCA5	20	10	20	34	25	29	25	19	18	15	20	27	24	20	29	19
ABCA6	11	7	11	23	27	8	6	3	10	6	5	5	10	15	6	6
ABCA7	90	76	90	123	99	110	96	76	90	86	117	104	123	151	165	134
ABCA8	5	2	14	5	4	6	4	5	0	0	6	4	3	2	0	4
ABCA9	20	9	16	22	14	15	3	4	4	4	10	4	6	4	17	5
ABCA9-AS1	0	3	0	0	3	0	2	3	1	0	0	1	2	1	1	0
ABCB1	895	714	905	1084	1064	847	959	942	1111	845	1070	934	1047	1254	1088	954
ABCB10	676	540	814	892	716	704	802	748	768	696	914	718	940	947	1033	767
ABCB10P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCB10P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	4	10	14	4	3	13	1	4	11	7	7	1	8	9	14	6
ABCB4	289	300	348	398	339	279	314	315	338	240	456	350	424	421	424	389
ABCB5	6	6	11	10	12	3	7	3	5	3	6	7	4	10	8	7
ABCB6	11	20	12	12	21	9	10	11	13	4	21	15	14	6	10	5
ABCB7	310	230	285	442	354	307	367	389	401	307	402	375	432	443	471	377
ABCB8	411	482	491	526	482	502	474	414	478	419	490	464	548	525	765	430
ABCB9	440	435	526	480	537	468	447	396	453	389	463	395	489	566	639	422
ABCC1	371	416	430	517	488	389	517	435	505	352	388	442	556	479	671	451
ABCC10	503	586	600	641	658	550	504	449	534	436	552	497	597	625	797	518
ABCC11	19	14	23	12	14	7	17	12	16	9	19	15	22	13	28	29
ABCC12	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
ABCC13	9	3	11	12	16	6	2	7	7	7	11	6	0	3	9	3
ABCC2	24	29	19	18	28	33	26	20	22	7	30	27	20	26	24	19
