gene_symbol	GSM3526024	GSM3526021	GSM3526026	GSM3526022	GSM3526025	GSM3526027	GSM3526020	GSM3526023
A1BG	7.5	7.63671875	7.453125	7.71484375	7.828125	7.28125	7.46484375	7.53515625
A1BG-AS1	6.55078125	6.7578125	6.85546875	6.8125	6.99609375	6.6953125	6.5234375	6.453125
A1CF	4.251953125	4.3505859375	4.2509765625	4.46875	4.4921875	4.43359375	4.4404296875	4.39453125
A2M	7.078125	7.73046875	7.693359375	6.662109375	6.646484375	6.41015625	6.16796875	6.720703125
A2M-AS1	4.671875	5.66015625	4.65625	4.05078125	4.05078125	4.2265625	4.63671875	4.96875
A2ML1	4.0341796875	4.0458984375	4.189453125	4.306640625	4.3056640625	4.318359375	4.193359375	4.109375
A2MP1	5.453125	5.49609375	5.51171875	5.55859375	5.49609375	5.46875	5.60546875	5.3515625
A4GALT	7.34765625	7.54296875	7.3515625	7.81640625	7.3984375	7.56640625	7.40234375	7.6328125
A4GNT	6.30859375	6.14453125	6.12890625	6.41015625	6.16796875	6.13671875	6.234375	6.1953125
AA06	5.33203125	5.10546875	5.26171875	5.546875	5.1640625	5.25390625	5.4375	5.140625
AAAS	7.89453125	7.6015625	7.6328125	8.1640625	7.76953125	7.9609375	8.0078125	7.79296875
AACS	9.28125	9.6640625	9.8828125	9.953125	9.3671875	9.375	9.6875	9.796875
AACSP1	4.0234375	4.01953125	4.16015625	4.2734375	4.34375	4.15234375	4.203125	4.01953125
AADAC	6.88671875	10.8046875	7.15625	6.92578125	7.10546875	6.46875	9.1015625	9.15625
AADACL2	3.173828125	3.267578125	3.318359375	3.42578125	3.388671875	3.376953125	3.2265625	3.28125
AADACP1	3.5546875	3.767578125	3.44140625	3.615234375	3.5	3.7265625	3.322265625	3.400390625
AADAT	6.796875	6.91015625	6.6953125	6.5	6.75390625	6.765625	6.90234375	7.23828125
AAED1	9.734375	10.2578125	10.5234375	9.8203125	9.3828125	9.6171875	9.578125	10.3046875
AAGAB	6.166666666666667	6.270833333333333	6.350260416666667	6.03125	6.266927083333333	6.19921875	6.260416666666667	6.209635416666667
AAK1	6.650390625	6.547433035714286	6.534040178571429	6.684430803571429	6.703125	6.653738839285714	6.686941964285714	6.597377232142857
AAMDC	7.364583333333333	7.432942708333333	7.58984375	7.270833333333333	7.375	7.333984375	7.109375	7.319661458333333
AAMP	9.6796875	9.6484375	9.6484375	9.890625	9.8203125	9.921875	9.7734375	9.765625
AANAT	4.6328125	4.37890625	4.41015625	4.53125	4.83203125	4.5	4.48828125	4.5703125
AAR2	9.3984375	9.3828125	9.359375	9.640625	9.6484375	9.7265625	9.40625	9.3515625
AARS	10.1015625	10.40625	10.125	10.28125	9.828125	10.0703125	10.2734375	10.5078125
AARS2	7.271484375	7.302734375	7.0859375	7.439453125	7.40234375	7.48828125	7.5	7.35546875
AASDH	7.8125	8.126953125	8.119140625	7.1015625	7.494140625	7.501953125	7.59375	7.892578125
AASDHPPT	7.474609375	7.557942708333333	7.425130208333333	6.975911458333333	7.397786458333333	7.744791666666667	7.430338541666667	7.459635416666667
AASS	6.0078125	6.501953125	6.740234375	5.515625	5.634765625	5.490234375	5.54296875	6.16015625
AATBC	5.48046875	5.54296875	5.48828125	5.6328125	5.58984375	5.95703125	5.46875	5.63671875
AATF	8.6796875	8.046875	8.8515625	8.7421875	8.84375	8.2578125	8.8984375	8.7421875
AATK	6.8515625	6.80859375	6.875	6.8203125	6.9921875	6.8046875	6.984375	6.90234375
ABAT	7.454427083333333	6.6484375	7.07421875	7.46484375	6.955729166666667	7.111979166666667	6.96484375	7.1015625
ABCA1	6.2841796875	6.4912109375	5.966796875	6.0	6.359375	6.32470703125	5.857421875	6.42919921875
ABCA11P	6.29296875	5.98828125	5.7578125	5.32421875	5.8828125	5.98828125	5.46484375	5.86328125
ABCA12	3.22265625	3.056640625	3.20703125	3.45703125	3.42578125	3.37890625	3.326171875	3.130859375
ABCA13	2.3958333333333335	2.5078125	2.595703125	2.548828125	2.53125	2.5553385416666665	2.658203125	2.55859375
ABCA17P	3.892578125	3.865234375	4.04296875	4.02734375	3.7265625	4.140625	3.880859375	4.046875
ABCA2	6.5859375	6.462239583333333	6.580729166666667	6.658854166666667	6.6640625	6.52734375	6.630208333333333	6.369791666666667
ABCA3	6.84375	6.87109375	6.578125	6.98046875	7.078125	7.18359375	6.90234375	6.97265625
ABCA4	5.560546875	5.357421875	5.330078125	5.658203125	5.740234375	5.5390625	5.482421875	5.322265625
ABCA5	4.896484375	5.8115234375	5.470703125	4.431640625	4.287109375	4.521484375	4.5537109375	5.212890625
ABCA6	5.93359375	7.2421875	6.5234375	5.15234375	5.28125	5.34375	5.84375	7.078125
ABCA7	6.31640625	6.79296875	6.8671875	6.75	6.76953125	6.7421875	6.69140625	7.09375
ABCA8	6.326822916666667	5.915364583333333	5.830729166666667	5.975260416666667	6.243489583333333	5.65625	5.73046875	6.221354166666667
