	GSM4149705	GSM4149706	GSM4149707	GSM4149708	GSM4149709	GSM4149710	GSM4149711	GSM4149712	GSM4149713
A1BG	37	22	46	43	33	27	68	17	20
A1BG-AS1	0	12	12	13	12	14	18	11	22
A1CF	16	20	30	68	20	56	50	4	12
A2M	2	5	2	1	6	0	1	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0
A2ML1	14	8	19	31	15	23	18	8	13
A2ML1-AS1	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	3	0	0	0	0	0	0
A2MP1	0	43	102	42	38	60	8	2	3
A3GALT2	0	0	3	3	14	9	11	0	3
A4GALT	385	476	429	227	228	255	272	230	253
A4GNT	5	0	0	3	0	0	0	1	0
AAAS	1249	1726	1608	1574	1877	1706	1705	1754	1679
AACS	830	1180	1112	1342	1366	1139	1315	962	1120
AACSP1	163	215	190	354	244	311	328	123	130
AADAC	0	2	0	1	2	7	4	0	1
AADACL2	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	1	2	0	3	4	0	0
AADACL3	4	5	5	8	3	11	2	0	3
AADACL4	0	0	1	0	0	0	0	0	0
AADACP1	4	8	6	13	10	13	12	7	22
AADAT	91	106	118	218	147	171	150	93	126
AAGAB	740	1035	686	936	906	826	879	869	886
AAK1	1449	1783	1642	1830	1934	1663	2177	1399	1852
AAMDC	25	61	72	59	40	20	48	24	38
AAMP	989	1427	1309	1454	1702	1423	1435	1371	1332
AANAT	1	3	0	7	12	5	4	15	2
AAR2	499	677	590	789	768	746	781	671	689
AARD	5	2	1	4	6	1	3	7	0
AARS1	4580	5986	5188	4800	5188	4914	5317	3878	4602
AARS1P1	0	0	0	0	0	0	0	0	0
AARS2	580	873	695	1149	1174	1051	959	927	877
AARSD1	246	358	247	339	256	257	316	193	273
AARSD1P1	1	9	10	3	0	0	16	0	0
AASDH	139	246	273	296	230	224	293	212	228
AASDHPPT	399	610	618	764	827	819	795	682	721
AASS	37	20	45	33	22	36	20	14	23
AATBC	38	37	52	63	93	43	96	34	58
AATF	600	956	676	1001	953	1045	929	636	914
AATK	605	1024	1027	1660	2045	1619	1704	1516	1373
ABALON	22	90	74	203	179	141	146	97	154
ABAT	12	21	13	31	19	16	14	8	4
ABCA1	148	141	166	125	70	71	161	128	167
ABCA10	5	7	12	9	20	7	5	2	2
ABCA11P	17	31	27	59	24	49	107	31	54
ABCA12	6	0	8	22	28	30	13	19	33
ABCA13	516	610	512	809	738	394	825	605	742
ABCA17P	48	22	36	45	35	42	53	26	36
ABCA2	9060	11616	11425	9220	10144	9215	9937	9799	9138
ABCA3	1979	3011	3307	3855	4512	4283	3804	3881	4104
