	GSM4365477	GSM4365473	GSM4365475	GSM4365470	GSM4365469	GSM4365478	GSM4365474	GSM4365466	GSM4365465	GSM4365476	GSM4365468	GSM4365471	GSM4365472	GSM4365467	GSM4365464
NA	66	30.359375	53.09375	40.65625	59.34375	40.5625	53.1875	72.125	31.25	60.03125	37.90625	46.40625	31.1875	29.625	38.875
NA	25.234375	55.40625	43.25	70.3125	52.875	8.65625	35.03125	55.625	45.5625	59.5	77.0625	19.9375	34.96875	10.6484375	25.3125
OR4F17///OR4F5///OR4F4	17.25	10.078125	23.234375	19.140625	22.203125	19.46875	9.328125	18.28125	12.59375	17.625	20.609375	15.8515625	15.5078125	16.703125	19.953125
LOC100134822///SEPT14///LINC00266-1///PCMTD2	211.375	235.25	219.25	214.25	198.25	186.625	167.875	149	228.625	230	227.625	172.25	238.75	157.375	171.375
OR4F29///OR4F21///OR4F16///OR4F3	28.015625	17.9375	22.359375	30.34375	30.90625	24.265625	25.109375	30.390625	25.5625	26.65625	31.28125	23.25	23.96875	15.84375	21.546875
NA	585	672	637.5	640.5	533	955.5	787.5	556.5	961.5	793	736.5	533.5	360.75	1117	557.5
NA	67.625	73.375	73	79.5625	78.5	70.25	64.25	67.5	58.21875	74.9375	73.75	56.28125	57.15625	68.5625	56.375
NA	21.375	29.625	28.671875	29.015625	22.015625	34.28125	17.46875	15.890625	24.65625	25.390625	26.75	20.796875	22.6875	24.375	15.1875
NA	838	1194	1168	1182	895.5	1411	930.5	590	1351	1073	1428	992	1265	1218	963
LOC100287934///LOC100287497	72.6875	67.5625	65.3125	67.0625	68.9375	71.875	64.5	59.40625	71.0625	58.96875	66.0625	64.375	87.1875	61.96875	58.40625
FAM87B///FAM87A	116.1875	85.125	93.4375	111.3125	104	62.40625	76.5	117.6875	79.125	98.125	117.5	77.4375	91	65.25	85.375
LINC01128	99.75	123.8125	115	105.6875	113.75	109.75	91.9375	107.25	134.875	113.125	116.1875	106.5	152.125	69	131.25
SAMD11	388	294	337.25	390.25	385.5	235	328	368.5	309.75	333.5	362.75	252.375	328	232.625	266.25
KLHL17	402.5	356.5	420.25	450.5	412.75	352.25	378.75	379.25	416.25	417.75	427.5	365.25	369.75	360.25	372.75
PLEKHN1	286.25	254.125	269.75	322.75	265.5	258	241.625	244.25	252.125	293.75	286	246.5	286.75	207	229.375
ISG15	320	254.875	297.75	346.75	295.75	249.75	279.75	266.25	333.5	291.25	319.25	280.25	397.75	190.75	242.875
AGRN	553	598.5	584.5	611.5	507.75	577.5	563.5	555	612	584	609.5	531	652	488	598.5
MIR200B	211.5	209.875	218	224.875	211.625	195.25	175.75	205.75	198.25	201.625	237.5	159.75	196.25	183.25	169.875
MIR200A	19.8125	13.046875	15.390625	11.7265625	15.1171875	10.5625	14.75	17.6875	12.1796875	16.0625	15.359375	10.40625	12.2265625	15.5	10.0234375
MIR429	125.9375	126.4375	122.8125	133	140.75	94	101.3125	145.375	95	123.8125	125.625	129.375	96.5625	71.6875	128.75
TTLL10	295.25	204.75	243.25	294.25	276	167.5	238.375	275.75	218.25	238.375	288.5	187.625	218.75	161.25	194.75
B3GALT6	288.5	329.75	308.25	329	280.25	293.5	274.25	291.75	328.75	280.25	298.75	263.5	337.25	234	301
SCNN1D	176.25	150.625	163	165	176.25	145.5	135.625	168.5	148.625	158.375	160.375	146.875	158	112	138.875
PUSL1	419.5	475.5	483.5	467.75	436.75	473.25	423	387.25	488.5	481.5	425.25	446.5	483.75	359.75	471.25
CPTP	231.625	278.75	255.125	260.75	213.625	260.25	231.25	238.375	294.75	273	248.25	251.25	312.75	214.375	275.25
TAS1R3	348	285.25	316	335.25	322	260	279.5	314.75	267.5	292.75	351.5	268	291.5	189.125	237.5
VWA1	517	431.5	502.25	504.5	495	444	478	482	422	495.25	492.25	438.25	474.5	398.25	406.75
ATAD3C///ATAD3B///ATAD3A	333	342	351.25	363.75	327	361	312	272.75	350.5	363	341.5	338	407	292	317.75
ATAD3A	559.5	572.5	557.5	643	547.5	614.5	542	474	549.5	589.5	570.5	563	587.5	573	651
ATAD3C///ATAD3B///ATAD3A	794.5	877.5	848.5	860.5	834	833.5	750	678.5	799.5	871.5	781	840.5	907.5	691.5	797
SSU72	126.375	95.1875	106.5625	105.375	121.3125	99.5625	104.6875	134.25	95.1875	88.4375	92.75	89.75	96.1875	72.5625	90
MIB2	313.5	321	319	379.25	319	281.75	292	342	326.75	337	352.5	298	308.5	270.5	293.25
MMP23A///MMP23B	410.5	317.5	365	389.75	386	313.25	338.75	435	330.75	350.5	381.5	338.25	341.5	244.375	308.5
CALML6	94.9375	85.5	104	120.1875	86.0625	80.5	74.6875	117.375	86.875	76.6875	82.8125	58.59375	76.75	57.3125	72.375
GABRD	167.875	149.25	154.5	163.375	158.5	117.3125	148.125	155.5	130.375	144.5	157.25	124.75	133.625	123.625	114.5625
PRKCZ	161	135.75	149.25	161.125	167.625	146.125	133.75	158.25	133	148.25	159.25	131.875	141.375	116.875	129.875
FAAP20	192.5	166	190.75	192.625	195.25	146.875	168.5	186.375	156.125	173.75	201.625	149.875	168	121.9375	139.125
