	GSM4685031	GSM4685032	GSM4685033	GSM4685034	GSM4685035	GSM4685036	GSM4685037	GSM4685038	GSM4685039	GSM4685040
A1BG	24	62	14	6	14	9	14	37	52	45
A1BG-AS1	3	2	0	2	8	8	4	0	1	1
A1CF	182	268	63	16	89	61	80	245	250	241
A2M	2155	4510	110	584	1104	380	754	3415	2780	2529
A2M-AS1	11	23	1	2	3	1	1	6	7	2
A2ML1	0	0	0	1	1	1	0	2	1	2
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0
A2MP1	0	2	0	7	0	1	0	4	1	1
A3GALT2	0	0	0	0	0	0	0	0	0	0
A4GALT	1	1	2	0	16	19	25	2	2	3
A4GNT	1	0	0	0	0	0	0	1	0	0
AAAS	13	12	1	16	76	68	72	17	14	14
AACS	30	22	2	1	37	23	21	18	21	12
AACSP1	1	0	0	0	5	2	3	1	1	3
AADAC	64	107	48	12	26	15	18	39	42	36
AADACL2	0	0	0	0	0	2	0	1	0	0
AADACL2-AS1	0	0	1	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0
AADACP1	2	1	1	0	0	1	1	3	1	1
AADAT	7	15	5	7	9	2	5	25	11	9
AAGAB	15	27	7	15	38	25	35	6	14	12
AAK1	66	63	11	9	35	25	34	48	68	47
AAMDC	8	4	0	4	14	11	3	7	0	4
AAMP	41	36	11	31	161	130	93	22	20	31
AANAT	0	0	0	0	0	0	1	0	0	0
AAR2	16	10	6	2	47	36	44	13	17	9
AARD	0	0	0	0	0	0	0	1	7	0
AARS1	50	94	12	100	273	202	205	49	56	48
AARS1P1	0	0	0	0	0	0	0	0	0	0
AARS2	15	12	3	13	37	32	35	14	15	14
AARSD1	10	10	2	4	11	17	20	6	5	12
AARSD1P1	0	2	0	0	0	1	0	1	1	0
AASDH	3	8	2	7	4	4	4	4	3	5
AASDHPPT	32	12	5	22	30	24	24	13	14	6
AASS	25	38	21	16	50	28	33	101	84	91
AATBC	1	3	2	1	2	0	0	0	0	1
AATF	20	21	10	16	50	43	37	35	23	20
AATK	1	1	0	5	8	3	12	4	4	10
