	GSM4795609	GSM4795610	GSM4795611	GSM4795612	GSM4795613	GSM4795614
A1BG	95	59	105	58	44	65
A1BG-AS1	131	89	123	95	64	95
A1CF	3	8	3	5	3	6
A2M	0	1	2	3	0	3
A2M-AS1	1	3	0	0	5	2
A2ML1	1	1	5	8	3	5
A2ML1-AS1	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0
A2MP1	0	2	1	7	4	0
A3GALT2	4	7	13	12	6	9
A4GALT	237	106	250	171	148	192
A4GNT	0	3	5	1	2	1
AAAS	1119	728	1024	771	617	903
AACS	2091	1343	1875	1468	1259	1418
AACSP1	5	4	11	7	3	1
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0
AADACL3	1	1	0	0	1	0
AADACL4	0	0	0	0	0	0
AADACP1	1	0	0	0	0	0
AADAT	408	287	377	276	249	323
AAGAB	1478	1042	1363	1125	962	1093
AAK1	2683	1809	2230	1782	1747	1710
AAMDC	167	145	168	148	106	139
AAMP	3889	2418	3432	2987	2644	3020
AANAT	5	4	0	5	0	2
AAR2	1749	1093	1512	1223	971	1283
AARD	29	32	34	23	11	32
AARS1	3596	2251	3016	2133	1848	2082
AARS1P1	0	0	0	0	0	0
AARS2	1101	712	1050	770	728	907
AARSD1	593	458	526	401	385	452
AARSD1P1	3	0	0	1	0	5
AASDH	432	275	394	295	203	304
AASDHPPT	1716	1094	1437	1095	1109	1247
AASS	318	234	280	188	207	244
AATBC	6	7	8	10	6	5
AATF	4217	2961	3645	2946	2775	3185
AATK	54	31	48	38	25	30
ABALON	6	8	6	3	6	3
ABAT	92	72	62	80	49	77
ABCA1	7395	4647	6110	6122	4992	6089
ABCA10	9	22	11	21	18	20
ABCA11P	269	194	211	168	151	234
ABCA12	28	15	13	19	7	21
ABCA13	6	12	2	9	6	6
ABCA17P	157	110	159	133	113	115
ABCA2	657	392	630	482	364	472
ABCA3	1106	710	933	875	689	859
ABCA3P1	0	0	0	0	0	0
ABCA4	9	6	4	8	2	9
ABCA5	94	52	96	82	72	65
ABCA6	12	4	5	7	8	8
ABCA7	346	200	299	202	143	240
ABCA8	1	0	4	1	3	2
ABCA9	8	11	10	9	6	6
ABCA9-AS1	0	0	0	0	3	0
ABCB1	758	501	686	633	524	606
ABCB10	755	566	597	566	579	639
ABCB10P1	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0
ABCB11	0	0	1	1	3	2
ABCB4	10	7	5	19	11	11
ABCB5	0	0	0	0	1	1
ABCB6	405	263	367	268	275	339
ABCB7	969	488	794	603	527	658
ABCB8	1035	605	942	788	666	835
ABCB9	354	219	362	269	221	272
ABCC1	2516	1604	2138	1840	1493	1689
ABCC10	477	281	412	345	227	316
ABCC11	15	8	9	11	11	9
ABCC12	9	2	10	7	2	9
ABCC13	1	3	1	0	5	1
ABCC2	227	142	210	136	122	110
ABCC3	410	233	343	265	194	301
ABCC4	1510	979	1351	1169	1016	1181
ABCC5	2248	1351	1809	1686	1500	1636
ABCC5-AS1	1	0	0	0	0	0
ABCC6	154	64	91	86	36	77
ABCC6P1	56	51	72	56	35	53
ABCC6P2	13	6	10	14	9	12
ABCC8	5	8	11	9	12	3
ABCC9	515	342	403	375	358	366
ABCD1	317	193	264	208	217	250
ABCD1P2	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0
ABCD2	2	0	0	1	1	0
ABCD3	1977	1290	1695	1414	1426	1608
ABCD4	736	460	635	492	463	530
ABCE1	9301	6286	8135	6518	6393	7390
ABCF1	5876	3809	5015	4277	3814	4455
ABCF2	3170	2085	2570	2288	2000	2477
ABCF2-H2BK1	1705	1032	1516	1102	1203	1218
ABCF2P1	1	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0
ABCF3	1613	1008	1384	1112	1052	1214
ABCG1	1	1	2	2	2	3
ABCG2	17	19	12	15	19	11
ABCG4	5	5	0	2	2	1
ABCG5	1	0	1	1	0	0
ABCG8	5	5	5	1	1	1
ABHD1	3	6	4	3	3	3
ABHD10	850	553	831	590	620	768
ABHD11	312	257	304	268	225	279
ABHD11-AS1	2	13	8	5	8	4
ABHD12	3206	2064	2796	2342	1965	2531
ABHD12B	19	30	23	18	11	13
ABHD13	578	407	479	407	394	434
ABHD14A	120	63	73	91	64	81
ABHD14A-ACY1	33	23	38	28	10	33
ABHD14B	491	346	498	416	288	419
ABHD15	349	203	366	286	239	251
ABHD15-AS1	0	0	0	0	0	0
ABHD16A	442	309	433	278	257	324
ABHD16B	0	0	0	0	0	0
ABHD17A	1195	726	1053	859	663	834
ABHD17AP1	0	0	0	0	0	0
ABHD17AP3	0	2	0	3	7	0
ABHD17AP4	0	0	0	0	0	0
