	GSM3580178	GSM3580179	GSM3580180	GSM3580181	GSM3580182	GSM3580183	GSM3580184	GSM3580185
0610005C13Rik	12	6	6	11	13	15	11	4
0610006L08Rik	1	0	0	0	0	0	0	0
0610009B22Rik	271	232	177	295	241	249	188	200
0610009E02Rik	9	18	2	9	3	14	17	8
0610009L18Rik	83	85	38	103	37	36	20	61
0610010K14Rik	608	531	464	766	457	562	569	623
0610012D04Rik	0	1	0	1	0	3	0	2
0610012G03Rik	533	452	382	600	310	338	444	395
0610025J13Rik	0	1	1	1	0	0	0	0
0610030E20Rik	407	467	319	599	308	337	268	358
0610031O16Rik	6	2	1	1	4	5	0	3
0610033M10Rik	0	0	0	0	0	1	0	0
0610038B21Rik	0	2	4	5	3	2	2	0
0610039K10Rik	11	9	8	13	11	6	6	7
0610040B10Rik	29	28	23	70	33	20	21	28
0610040F04Rik	0	1	0	0	0	0	0	0
0610040J01Rik	4	5	9	0	0	2	1	3
0610043K17Rik	1	2	0	6	1	1	0	0
0710001A04Rik	0	0	0	0	0	0	0	0
1010001B22Rik	10	19	18	25	17	12	7	12
1100001I12Rik	0	0	0	0	0	0	0	0
1110002E22Rik	1	0	1	5	0	1	7	0
1110002J07Rik	2	11	6	4	1	5	3	0
1110002L01Rik	105	122	110	131	128	123	87	98
1110002O04Rik	0	1	0	0	0	0	0	0
1110004F10Rik	1726	1353	1194	1929	1382	1275	1390	1476
1110006O24Rik	20	11	17	24	10	28	11	8
1110008E08Rik	0	0	0	0	1	0	0	0
1110013H19Rik	0	0	3	0	0	1	0	1
1110015O18Rik	0	0	0	0	0	0	0	1
1110017D15Rik	0	1	1	1	0	0	0	0
1110018N20Rik	0	2	1	7	0	0	0	0
1110019B22Rik	1	3	0	6	0	1	0	3
1110019D14Rik	55	65	26	69	48	48	38	33
1110020A21Rik	9	15	5	19	11	11	8	8
1110025L11Rik	0	0	0	0	0	0	0	0
1110028F11Rik	5	7	4	5	4	6	6	12
1110028F18Rik	2	0	1	0	0	1	1	1
1110032A03Rik	233	288	228	341	188	315	144	197
1110032F04Rik	0	0	2	0	1	8	1	0
1110035H17Rik	1	2	4	6	3	1	3	3
1110038B12Rik	408	373	276	503	392	317	555	466
1110038F14Rik	317	348	307	442	197	291	266	294
1110046J04Rik	14	7	3	12	3	1	6	2
1110051M20Rik	476	456	421	637	379	399	409	475
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	647	535	455	764	590	495	594	494
1110059G10Rik	425	273	283	305	320	320	253	195
1110065P20Rik	105	101	100	131	73	98	104	131
1190001M18Rik	7	2	0	9	6	0	0	1
1190005I06Rik	32	15	21	37	11	17	25	16
1190007I07Rik	228	205	155	295	159	181	262	226
1190028D05Rik	0	0	0	0	0	0	0	0
1200007C13Rik	1	0	3	10	6	2	0	4
1300002E11Rik	240	129	176	243	176	202	128	103
1300014J16Rik	34	40	24	34	39	60	27	46
1500002C15Rik	73	69	56	121	89	76	56	58
1500002F19Rik	1	1	3	0	1	1	0	2
1500004A13Rik	149	220	124	187	142	127	139	134
1500009L16Rik	277	206	149	322	263	297	191	216
1500011B03Rik	964	949	689	1269	774	754	731	764
1500012K07Rik	1	12	6	3	2	2	2	1
1500015A07Rik	57	47	48	81	60	54	23	45
1500015L24Rik	3	2	5	0	0	0	1	0
1500026H17Rik	28	23	17	30	16	15	13	18
1500032F14Rik	1	2	2	4	1	2	2	3
1500035N22Rik	1	0	3	5	2	5	2	2
1520401A03Rik	3	7	1	0	2	1	3	0
1600002D24Rik	0	0	0	0	0	0	0	0
1600010M07Rik	24	16	64	17	8	23	15	8
1600012H06Rik	259	181	184	222	232	195	170	166
1600012P17Rik	0	0	0	0	0	0	0	0
1600014C10Rik	378	501	482	563	389	392	398	336
1600014C23Rik	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0
1600020E01Rik	268	316	219	359	221	249	190	285
1600022D10Rik	4	0	3	1	1	1	1	5
1600025M17Rik	4	2	4	4	5	1	0	1
1600027J07Rik	0	0	0	0	0	0	0	0
1600029O15Rik	6	4	5	6	6	4	1	2
1700001C19Rik	42	33	30	44	23	12	17	30
1700001D01Rik	2	3	2	1	0	1	0	0
1700001F09Rik	0	1	0	0	0	0	0	0
1700001G01Rik	1	1	0	2	1	1	0	0
1700001G11Rik	1	8	7	9	7	1	5	5
1700001J03Rik	0	3	0	0	1	0	0	0
1700001J04Rik	0	0	0	0	0	0	0	0
1700001J11Rik	0	2	0	0	0	0	0	1
1700001K19Rik	4	2	2	2	4	1	2	0
1700001K23Rik	0	0	0	0	0	1	0	1
1700001L05Rik	75	53	59	110	66	52	50	93
1700001L19Rik	0	0	0	0	1	0	0	0
1700001N15Rik	0	0	0	0	0	0	0	0
1700001O22Rik	38	45	37	57	48	13	38	33
1700001P01Rik	0	0	1	1	1	0	0	2
1700003C15Rik	249	252	120	209	62	128	118	78
1700003D09Rik	0	0	0	0	0	0	0	0
1700003E16Rik	10	6	2	23	3	3	12	6
1700003E24Rik	0	0	0	0	0	0	0	0
1700003F12Rik	0	1	0	2	1	2	0	3
1700003G18Rik	0	9	5	0	6	4	4	1
1700003H04Rik	0	0	0	0	0	0	0	0
1700003I16Rik	10	10	8	7	6	7	9	3
1700003I22Rik	0	0	0	0	0	0	0	0
1700003L19Rik	0	1	0	0	0	0	0	0
1700003M07Rik	5	5	4	4	5	6	5	0
1700003N22Rik	0	0	0	0	0	0	0	0
1700003O11Rik	0	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	1
1700006A11Rik	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	4	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0
1700006J14Rik	3	5	39	21	11	10	7	10
1700007E05Rik	1	3	0	1	1	3	7	1
1700007F19Rik	2	0	1	2	0	0	0	0
1700007H22Rik	0	0	0	0	0	0	0	0
1700007J10Rik	5	1	2	3	2	6	2	2
1700007K13Rik	0	0	0	0	0	1	0	0
1700007L15Rik	71	57	50	86	45	55	61	66
1700007M16Rik	0	0	0	0	0	0	0	0
1700007P06Rik	0	4	2	0	2	0	0	0
1700008B11Rik	0	0	0	1	1	0	0	0
1700008C04Rik	0	2	0	2	0	2	1	0
1700008J07Rik	80	94	63	134	88	69	64	92
1700008K24Rik	0	0	0	0	0	0	0	0
1700008N11Rik	0	0	0	0	0	0	1	0
1700008O03Rik	25	23	9	23	16	11	18	22
1700008P02Rik	0	0	0	0	0	0	0	0
1700009C05Rik	0	2	0	0	0	0	0	0
1700009J07Rik	2	0	0	0	0	1	0	0
1700009N14Rik	0	0	0	0	0	0	0	0
1700010B08Rik	1	1	0	2	2	0	0	0
1700010B13Rik	0	2	3	8	5	5	2	1
1700010D01Rik	0	0	0	0	0	0	0	0
1700010G06Rik	0	0	0	0	0	0	0	0
1700010H22Rik	0	0	0	0	0	0	0	0
1700010I02Rik	0	1	0	0	0	0	0	0
1700010I14Rik	2	2	5	12	8	1	4	0
1700010J16Rik	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0
1700010K24Rik	0	1	0	0	0	0	0	0
1700010L04Rik	1	5	2	2	2	0	1	0
1700010N08Rik	0	0	2	0	0	0	0	0
1700011B04Rik	0	0	1	4	1	0	2	1
1700011C11Rik	0	0	0	0	0	0	0	0
1700011D18Rik	1	0	0	0	0	0	0	0
1700011L03Rik	0	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	0	0	0	0
