	GSM4084087	GSM4084088	GSM4084089	GSM4084090	GSM4084091	GSM4084092	GSM4084093	GSM4084094	GSM4084096	GSM4084095
0610007P14Rik	103	141	86	191	110	113	177	128	144	94
0610009B22Rik	256	270	225	500	235	286	310	299	345	220
0610009L18Rik	15	4	5	14	8	7	12	8	20	13
0610009O20Rik	756	741	520	1207	715	841	994	680	856	615
0610010F05Rik	357	388	326	686	348	411	486	366	392	329
0610010K14Rik	156	161	82	257	175	139	237	126	165	125
0610011F06Rik	270	321	197	561	318	316	490	347	434	321
0610012G03Rik	665	673	644	1377	666	686	988	710	790	582
0610030E20Rik	592	596	372	954	574	666	892	532	628	410
0610037L13Rik	367	389	259	616	398	466	621	353	409	324
0610040J01Rik	2	0	5	7	0	3	1	1	2	1
1110001J03Rik	622	658	519	1236	568	765	892	727	850	641
1110002E22Rik	3	0	121	4	11	5	0	1	2	0
1110004E09Rik	191	194	181	399	184	206	288	235	261	194
1110004F10Rik	436	507	405	801	449	489	690	418	496	340
1110008F13Rik	1638	1729	1475	3456	1556	1980	2409	1862	2166	1400
1110008L16Rik	214	224	128	359	236	252	316	191	227	156
1110008P14Rik	651	716	578	1221	671	728	1065	697	825	595
1110012L19Rik	126	145	97	241	146	172	195	140	154	94
1110017D15Rik	2	0	1	3	2	2	2	2	1	2
1110025L11Rik	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	663	862	718	1528	776	969	1257	850	971	721
1110032F04Rik	0	0	0	0	2	0	0	0	0	0
1110034G24Rik	43	46	46	86	39	55	97	63	70	34
1110037F02Rik	574	588	407	924	533	615	792	527	683	434
1110038F14Rik	145	131	84	246	138	164	181	156	155	131
1110051M20Rik	49	45	29	116	62	48	100	46	67	50
1110057P08Rik	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	152	156	111	240	126	136	221	140	167	96
1110059G10Rik	94	94	66	116	100	86	136	83	102	61
1110065P20Rik	170	184	132	341	162	205	258	193	219	176
1190002N15Rik	242	220	149	352	246	251	264	257	223	157
1190003K10Rik	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	325	330	280	596	318	369	498	352	412	307
1190007I07Rik	157	184	125	266	148	147	276	166	173	129
1300017J02Rik	3	3	7	8	4	2	5	4	6	5
1500009C09Rik	0	0	0	0	0	0	0	0	0	1
1500009L16Rik	3	4	1	10	3	4	4	3	3	2
1500011B03Rik	22	25	11	36	25	28	41	16	18	19
1500011K16Rik	314	294	212	526	320	338	403	258	291	202
1500015O10Rik	0	0	0	1	0	2	0	0	0	1
1520401A03Rik	1	2	0	0	2	0	1	0	2	1
1600002H07Rik	57	64	21	79	63	68	62	48	67	42
1600002K03Rik	20	27	23	73	15	32	30	42	27	30
1600012H06Rik	231	244	178	441	234	295	363	231	250	186
1600014C10Rik	1396	1462	1195	2525	1351	1519	1861	1254	1691	1229
1600014C23Rik	0	2	2	1	0	0	0	2	0	1
1600015I10Rik	1	0	0	1	0	0	1	1	0	0
1600029O15Rik	1	0	1	7	1	1	1	2	2	2
1700001C02Rik	1	3	0	3	0	1	4	5	3	3
1700001C19Rik	0	0	1	1	0	0	1	1	0	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0
