	GSM4119264	GSM4119265	GSM4119266	GSM4119267	GSM4119268	GSM4119269	GSM4119270
0610007P14Rik	172	102	184	162	151	148	187
0610009B22Rik	613	491	897	596	447	419	627
0610009L18Rik	22	13	43	24	30	22	18
0610009O20Rik	760	397	1098	905	968	995	778
0610010F05Rik	879	712	1143	729	822	576	686
0610010K14Rik	154	166	297	211	269	281	245
0610011F06Rik	455	365	641	364	369	379	323
0610012G03Rik	1675	769	2290	2107	1687	1871	1903
0610030E20Rik	1146	672	1546	1162	1034	818	1000
0610037L13Rik	685	620	1119	727	615	473	590
0610040J01Rik	12	2	2	7	11	5	10
1110001J03Rik	2293	664	2484	2226	1844	1779	2291
1110002E22Rik	1	0	2	0	1	0	200
1110004E09Rik	359	346	412	339	288	378	391
1110004F10Rik	1039	975	1242	843	835	766	838
1110008F13Rik	4547	3112	6684	4838	4738	3862	4219
1110008L16Rik	332	171	527	237	318	305	289
1110008P14Rik	540	294	886	903	726	1280	997
1110012L19Rik	259	239	321	227	166	124	229
1110017D15Rik	0	0	2	8	4	0	4
1110025L11Rik	0	0	0	0	0	0	0
1110032A03Rik	1327	1124	1671	1277	1277	1085	1367
1110032F04Rik	1	0	0	0	0	0	0
1110034G24Rik	111	114	230	147	143	85	127
1110037F02Rik	888	395	1270	676	902	764	533
1110038F14Rik	302	260	429	299	305	296	214
1110051M20Rik	142	73	137	76	75	76	108
1110057P08Rik	0	0	0	0	0	0	0
1110059E24Rik	389	223	433	354	347	220	314
1110059G10Rik	302	237	418	201	255	179	212
1110065P20Rik	347	281	528	404	356	440	371
1190002N15Rik	658	592	1419	669	667	428	505
1190003K10Rik	0	0	0	0	0	0	0
1190005I06Rik	683	613	982	715	647	617	589
1190007I07Rik	587	364	763	589	452	424	523
1300017J02Rik	32	37	67	23	38	7	37
1500009C09Rik	5	0	0	0	0	0	1
1500009L16Rik	5	3	1	6	15	7	3
1500011B03Rik	45	28	27	27	40	47	55
1500011K16Rik	1528	1396	1741	1200	1049	827	1406
1500015O10Rik	0	0	6	0	0	2	1
1520401A03Rik	1	3	4	0	0	0	3
1600002H07Rik	119	58	134	96	100	103	140
1600002K03Rik	40	64	67	27	30	53	64
1600012H06Rik	575	352	781	396	475	395	415
1600014C10Rik	1556	1112	2346	1602	1444	1619	1432
1600014C23Rik	1	1	9	0	0	1	0
1600015I10Rik	0	3	0	0	0	0	0
1600029O15Rik	3	1	22	8	13	8	16
