	GSM4191298	GSM4191299	GSM4191296	GSM4191292	GSM4191295	GSM4191294	GSM4191293	GSM4191290	GSM4191301	GSM4191291
Copg1	8.6875	8.421875	9.015625	8.4609375	8.953125	8.7265625	8.6015625	8.7421875	8.8984375	8.71875
Atp6v0d1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Golga7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Psph	8.09375	8.078125	8.390625	7.83984375	7.96875	8.046875	8.2578125	8.09375	8.859375	8.3671875
Trappc4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dpm2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Psmb5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dhrs1	9.4375	9.4140625	9.234375	8.8984375	9.21875	9.0546875	9.1328125	9.0859375	9.1953125	9.328125
Ppm1a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Psenen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anapc1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mrpl43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Xpo7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nmt1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atg5	8.140625	7.7265625	7.85546875	7.96484375	8.046875	8.1484375	7.6328125	8.03125	8.0703125	7.9375
Mtif2	7.93359375	7.921875	7.94921875	7.46484375	7.96875	7.75390625	7.66796875	8.0234375	8.0703125	8.0234375
Rab14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Psap	12.3515625	12.4296875	12.2890625	12.7890625	12.7890625	12.7578125	12.6015625	12.7265625	11.4921875	11.2890625
Ube2g1	9.1875	8.7734375	9.1953125	8.78125	9.2109375	8.921875	8.7890625	9.0625	9.078125	9.1796875
Zkscan3	9.0546875	7.80859375	7.734375	8.03125	9.140625	7.5078125	7.71484375	7.765625	9.28125	9.15625
Mrpl27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dlg1	8.96875	8.640625	8.5859375	8.8046875	8.8046875	9.125	8.875	9.15625	8.59375	8.96875
Canx	10.7890625	10.5078125	10.7734375	10.296875	10.6953125	10.0390625	10.3046875	10.359375	10.78125	10.828125
Derl1	9.8359375	9.9140625	10.0078125	10.1171875	10.25	10.203125	10.2734375	10.09375	10.65625	10.0078125
Wars	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Psma1	10.0546875	9.8671875	10.2109375	9.8515625	10.15625	9.8125	9.7109375	9.9609375	10.2265625	10.1328125
Sar1a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
G3bp2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Golm1	7.44921875	7.53515625	8.421875	7.59765625	7.859375	7.83203125	7.640625	7.73828125	7.8125	7.59765625
Gps1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ssr3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC100862455///LOC100044627///Rpl23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ctbp1	9.8125	9.3671875	9.3828125	9.6796875	9.9453125	9.7421875	9.6875	9.8359375	9.84375	9.953125
Huwe1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cdv3	9.4375	9.109375	8.984375	9.1875	9.5859375	9.1640625	9.078125	9.296875	9.3828125	9.65625
Smim7	8.625	8.21875	8.75	8.34375	8.6484375	8.75	8.5703125	8.5390625	8.8515625	8.609375
Copa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anapc2	9.21875	8.828125	9.21875	8.8984375	9.328125	9.3515625	9.0234375	9.203125	9.34375	9.28125
Tug1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gbf1	8.1875	8.2890625	7.796875	8.359375	8.15625	8.2890625	8.296875	8.2578125	8.234375	8.2265625
Cox18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arfgef1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zranb1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ddx24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Snrnp27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tmem129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rps27rt///Rps27	12.09375	12.1640625	12.1484375	12.4453125	12.1875	12.5859375	12.28125	12.3515625	11.765625	12.2109375
Rnf220	7.84765625	7.5859375	7.51171875	7.90625	7.8984375	7.95703125	7.87109375	7.8046875	7.58203125	7.73046875
Sap30l	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Armc1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mad2l1bp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Naa60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vta1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eif5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cdc42	10.96875	10.5234375	11.1953125	10.8515625	11.09375	10.9140625	10.8203125	10.9296875	11.234375	10.9140625
Rrn3	7.41796875	7.21484375	7.67578125	7.1640625	7.36328125	7.31640625	6.89453125	7.44140625	7.61328125	7.24609375
Ankrd17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apoa1bp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pabpn1	7.19140625	7.86328125	7.26171875	8.0546875	7.30859375	8.265625	7.90625	8.015625	7.890625	7.4765625
Pdpk1	8.9296875	8.875	9.265625	8.8046875	9.2109375	8.796875	8.75	8.9296875	9.3671875	9.0078125
Cpsf7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Angel2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abhd16a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm8069///Tomm5	10.125	10.3984375	9.875	10.2265625	10.03125	10.1953125	10.1640625	10.1875	9.9140625	10.4609375
Rab7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ddb1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pfdn5	10.6328125	9.9375	10.34375	9.7734375	10.6015625	10.0859375	10.03125	10.0546875	10.6796875	10.609375
Rfk	9.328125	9.171875	8.8984375	9.1640625	9.2109375	9.0234375	9.1796875	9.2734375	8.9765625	9.40625
Txndc12	9.5859375	9.375	9.671875	9.390625	9.484375	9.375	9.28125	9.2578125	9.7578125	9.6171875
Rbm42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Psmc5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tmem165	9.4375	8.84375	9.84375	9.46875	9.8984375	9.6484375	9.265625	9.6171875	9.5	9.640625
Aup1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hdac5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pfdn6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dscr3	8.5078125	8.21875	8.7109375	8.234375	8.625	8.359375	7.95703125	8.40625	8.578125	8.421875
Cic	8.3203125	8.0859375	8.0546875	8.96875	8.609375	8.96875	8.8671875	8.8359375	8.3515625	8.375
Riok3	9.8671875	9.7265625	10.328125	9.71875	10.046875	9.8046875	9.7265625	9.875	10.2890625	9.875
Dctn5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rragc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tbl3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hp1bp3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BC031181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abhd17a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polr2f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ube2v1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Snapin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gbf1	8.453125	8.671875	8.1484375	8.8828125	8.546875	8.765625	8.8671875	8.7890625	8.4609375	8.453125
Fryl	8.015625	7.89453125	8.171875	8.265625	8.390625	8.3515625	8.1484375	8.3515625	8.2109375	8.3828125
Lamtor5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atox1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mrpl52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mrpl52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tmem234	9.453125	9.7578125	9.3125	9.7734375	9.4296875	9.8125	9.734375	9.515625	9.46875	9.59375
Zbed6///Zc3h11a	10.109375	9.8125	10.328125	9.9375	10.265625	10.046875	9.8359375	10.1796875	10.1796875	10.21875
Hnrnpul2	7.21484375	7.41015625	7.50390625	7.75	7.5078125	7.66796875	7.62109375	7.46484375	7.375	7.078125
Sec22b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ythdf1	8.6953125	8.4765625	8.46875	8.890625	8.6171875	8.8828125	8.609375	8.9921875	8.5703125	8.6171875
