	GSM4278939	GSM4278940	GSM4278941	GSM4278942	GSM4278943	GSM4278944	GSM4278945	GSM4278946	GSM4278947	GSM4278948	GSM4278949	GSM4278950	GSM4278951	GSM4278952	GSM4278953	GSM4278954	GSM4278955	GSM4278956
0610007P14Rik	2376	2444	2414	2424	2853	2184	2322	2233	1955	3940	4924	3445	2834	2947	2876	3025	2703	2520
0610009B22Rik	489	532	509	260	318	276	456	412	273	465	628	430	402	470	427	541	547	534
0610009L18Rik	11	10	12	14	12	12	3	8	4	18	23	11	24	24	14	20	18	24
0610009O20Rik	978	1156	1147	1020	1189	1010	1081	1085	970	1229	1341	1047	1425	1464	1291	1463	1496	1382
0610010F05Rik	1634	1507	1500	1286	1463	1314	1498	1546	1293	915	935	771	1215	1406	1237	1168	1255	1114
0610010K14Rik	1385	1524	1445	920	1098	835	1231	1172	942	1333	1626	1200	1041	1115	1111	1303	1325	1302
0610011F06Rik	533	651	633	308	301	233	454	405	330	424	424	323	323	346	316	393	309	319
0610012G03Rik	986	1073	1113	1088	1296	896	1421	1451	1119	1283	1373	928	1236	1348	1297	1315	1184	1143
0610030E20Rik	896	896	772	1018	1194	1028	1154	1162	1006	1102	1284	882	1348	1396	1302	1256	1356	1252
0610037L13Rik	917	925	929	871	990	735	957	978	691	1039	1237	863	1128	1174	1136	1241	1209	1105
0610040J01Rik	13	10	10	1	7	4	2	3	4	1	13	2	9	6	2	12	3	4
1110001J03Rik	393	374	397	175	206	142	269	261	193	438	417	318	231	218	212	257	250	236
1110002E22Rik	4	1	2	22	21	15	7	10	3	30	42	27	32	27	22	29	19	25
1110004E09Rik	1135	1149	1097	863	989	747	1115	1142	867	580	671	439	622	683	588	615	631	600
1110004F10Rik	3630	3669	3659	2178	2540	1919	3020	2934	2518	2974	3368	2591	2494	2709	2654	3255	3123	2907
1110008F13Rik	3831	3986	3967	3178	3764	2758	3905	3821	2617	2875	3012	2162	3396	3632	3353	2933	2989	2647
1110008L16Rik	455	418	395	425	463	392	524	470	422	305	350	239	382	370	408	331	378	312
1110008P14Rik	1423	1430	1426	1387	1507	1195	1540	1478	1237	1262	1432	1025	1471	1536	1395	1441	1336	1179
1110012L19Rik	537	582	577	673	726	577	652	611	537	822	979	694	906	985	961	869	784	833
1110017D15Rik	3	4	0	1	0	0	0	1	0	2	6	1	0	3	2	2	1	1
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	138	124	105	79	92	72	61	107	81	249	301	224	134	150	159	190	154	166
1110032F04Rik	0	0	0	11	9	2	0	4	4	3	13	2	5	6	3	1	0	2
1110034G24Rik	60	114	80	65	67	64	69	73	59	82	122	90	97	135	119	120	119	90
1110037F02Rik	3631	3889	3715	2938	3498	2641	3705	3549	2866	4148	4948	3598	3935	4079	3817	4742	4677	4284
1110038F14Rik	780	825	822	1018	1141	877	1006	900	663	1060	1287	908	1195	1250	1229	1075	1149	1011
1110051M20Rik	632	635	657	391	372	323	438	462	364	921	1104	752	576	572	617	750	793	759
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	1289	1228	1109	890	1006	832	1064	1141	854	1131	1341	1020	1028	1030	1106	1254	1286	1251
1110059G10Rik	309	324	341	264	287	256	342	306	315	467	505	372	382	389	409	530	485	447
1110065P20Rik	670	871	815	819	882	623	1200	1089	769	944	1029	627	959	983	865	949	846	790
