	GSM4487137	GSM4487138	GSM4487139	GSM4487140	GSM4487141	GSM4487142	GSM4487143	GSM4487144	GSM4487145
0610007P14Rik	1232	1237	1259	1373	1311	1006	1219	1341	1619
0610009B22Rik	384	272	335	268	441	337	281	212	343
0610009L18Rik	9	6	3	3	2	4	5	6	6
0610009O20Rik	700	738	725	657	571	521	658	523	544
0610010F05Rik	264	181	241	187	215	148	224	225	135
0610010K14Rik	178	181	196	216	295	344	186	197	237
0610011F06Rik	1273	1268	1314	1169	972	1141	460	641	983
0610012G03Rik	309	355	286	326	286	293	241	289	282
0610030E20Rik	794	590	644	744	692	500	810	612	592
0610037L13Rik	423	402	440	414	500	485	421	471	428
0610040J01Rik	483	609	525	663	556	483	760	787	623
1110001J03Rik	184	129	211	192	95	71	154	165	187
1110002E22Rik	2	1	1	2	1	4	2	1	1
1110004E09Rik	217	194	223	194	268	220	193	223	226
1110004F10Rik	888	745	926	767	1109	908	776	828	799
1110008F13Rik	1465	1251	1294	1046	1210	790	1031	951	982
1110008L16Rik	286	235	251	216	241	168	261	249	189
1110008P14Rik	267	165	206	137	210	137	119	177	221
1110012L19Rik	259	305	320	385	239	208	301	302	325
1110017D15Rik	0	1	1	1	0	0	0	0	1
1110025L11Rik	0	0	0	0	0	0	0	0	0
1110032A03Rik	757	662	700	804	653	682	699	770	741
1110032F04Rik	0	0	2	0	0	0	1	0	0
1110034G24Rik	135	163	148	115	490	477	112	104	92
1110037F02Rik	296	259	332	324	321	168	289	314	226
1110038F14Rik	121	92	107	113	161	136	114	111	100
1110051M20Rik	40	47	90	49	124	167	44	52	60
1110057P08Rik	0	0	0	0	0	0	0	0	0
1110059E24Rik	330	310	328	270	386	254	290	317	284
1110059G10Rik	201	184	178	164	217	170	171	188	179
1110065P20Rik	127	125	107	77	211	211	96	115	105
1190002N15Rik	523	478	654	435	661	615	535	713	333
1190003K10Rik	0	0	0	0	0	0	0	0	0
1190005I06Rik	81	54	61	84	29	50	46	52	58
1190007I07Rik	114	135	118	162	155	133	127	121	118
1300017J02Rik	10212	11043	10458	10864	6183	4678	12938	10432	11054
1500009C09Rik	0	0	0	0	4	0	1	1	1
1500009L16Rik	0	0	1	0	0	0	0	0	0
1500011B03Rik	26	21	39	22	51	31	15	31	27
1500011K16Rik	200	188	220	180	273	261	168	166	216
1500015O10Rik	0	1	0	1	0	2	0	0	0
1520401A03Rik	1	0	0	0	0	0	0	1	0
1600002H07Rik	857	467	584	651	96	110	483	559	648
1600002K03Rik	53	47	46	41	65	84	40	49	35
1600012H06Rik	649	590	610	445	412	295	434	404	381
1600014C10Rik	3659	3175	3984	2866	2067	1877	2767	2617	2778
1600014C23Rik	0	0	0	0	0	1	0	0	0
1600015I10Rik	0	0	0	0	0	0	0	0	0
1600029O15Rik	17	12	22	15	14	15	20	16	13
1700001C02Rik	0	0	0	0	0	0	0	0	0
1700001C19Rik	166	248	273	256	40	23	230	188	262
1700001F09Rik	0	0	0	0	0	0	0	0	0
1700001J03Rik	3	3	1	1	1	3	3	0	0
1700001J11Rik	1	0	1	0	3	1	3	2	0
1700001K19Rik	2	2	3	2	2	0	1	3	2
1700001L19Rik	0	1	0	3	0	0	6	3	2
1700001O22Rik	0	0	0	0	0	1	0	0	0
1700001P01Rik	0	0	1	0	3	0	0	0	0
1700003E16Rik	46	23	25	50	17	23	55	34	32
1700003F12Rik	0	3	3	1	7	7	1	1	7
1700003H04Rik	0	0	0	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	1	0	0	0	1	0	0
1700007B14Rik	0	0	0	0	0	0	0	0	0
1700007E05Rik	7	4	3	2	4	3	9	6	5
1700007G11Rik	0	0	0	0	0	0	0	0	0
1700007K09Rik	0	0	0	0	1	0	0	0	0
1700007K13Rik	2	1	2	0	3	1	3	1	4
1700008O03Rik	7	4	7	2	4	4	1	1	1
1700008P02Rik	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	1	0
1700010I14Rik	13	5	9	7	1	9	5	15	7
1700010N08Rik	0	0	0	0	0	0	0	0	0
1700011E24Rik	1	0	0	0	0	2	0	0	0
1700011H14Rik	15	4	2	2	3	0	9	5	6
1700011I03Rik	0	0	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	1	0	2	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	1	0	0	1
1700012B09Rik	0	0	0	0	0	0	0	0	0
1700012L04Rik	3	1	0	0	27	21	3	1	3
1700012P22Rik	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	1	0	0
1700013G24Rik	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	1	0	0	0	0	0	0
1700014D04Rik	1	0	1	0	0	0	0	0	0
1700015E13Rik	9	5	19	4	1	1	3	3	5
1700015F17Rik	0	0	0	0	1	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0
1700016C15Rik	1	3	0	0	2	1	0	1	1
1700016D06Rik	7	5	4	7	7	10	10	12	6
1700016H13Rik	0	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	1	0	1	0
1700017B05Rik	142	155	109	199	414	319	205	186	190
1700017D01Rik	3	4	2	0	1	0	0	0	1
1700017N19Rik	0	0	0	0	0	0	0	0	0
1700018B08Rik	0	2	1	0	3	0	0	0	1
1700018C11Rik	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0
1700018M17Rik	3	0	0	0	4	0	0	0	2
1700019A02Rik	1	0	1	0	0	0	1	0	0
1700019B03Rik	0	0	0	1	2	1	0	2	2
1700019D03Rik	18	13	5	4	10	4	6	5	5
1700019M22Rik	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	2	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0	0
1700020D05Rik	2	2	4	2	3	3	7	5	3
1700020L24Rik	2	2	0	1	9	3	0	5	0
1700020N01Rik	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0
1700021F05Rik	231	259	266	263	488	404	247	322	277
1700021F07Rik	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	2	3	3	1	1
1700023F06Rik	0	0	0	0	0	0	0	0	0
1700024B05Rik	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0	0
1700024J04Rik	7	8	7	8	10	14	9	0	5
1700024P04Rik	1	2	0	0	0	0	0	0	1
1700024P16Rik	231	161	260	129	87	68	100	103	96
1700025B11Rik	0	2	16	0	0	0	0	2	0
1700025C18Rik	0	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0	0
1700025G04Rik	57	43	66	54	11	9	16	34	16
1700028B04Rik	9	7	5	6	15	4	15	9	13
1700028J19Rik	6	2	4	4	6	5	6	5	2
1700028K03Rik	4	15	3	6	7	0	3	1	2
1700028P14Rik	5	6	2	1	1	0	0	1	0
1700029F12Rik	41	48	37	26	4	17	32	24	12
1700029H14Rik	0	0	0	0	0	0	0	0	0
1700029I15Rik	54	52	37	55	21	38	43	25	38
1700029J07Rik	52	35	69	24	22	67	40	31	21
1700029P11Rik	0	0	0	0	0	0	0	0	0
1700030C10Rik	2	0	2	1	2	0	0	0	0
1700030J22Rik	6	4	6	6	11	11	5	8	3
1700030K09Rik	101	103	118	90	173	188	104	93	101
1700031F05Rik	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	1	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0
1700034I23Rik	1	2	1	0	0	0	1	1	2
1700034J05Rik	1	2	1	0	0	2	0	1	2
1700034O15Rik	0	0	0	0	0	0	0	0	0
1700037C18Rik	23	14	12	18	28	12	17	23	12
1700037H04Rik	107	117	146	77	56	78	63	53	57
1700039E15Rik	8	5	0	2	0	4	1	0	7
1700040F15Rik	0	0	0	0	0	0	0	0	0
1700040L02Rik	44	78	58	107	13	58	55	70	38
1700042G07Rik	0	0	0	0	0	0	0	0	0
1700047I17Rik2	17	29	30	27	37	24	28	36	27
1700048O20Rik	51	28	39	42	2	34	62	68	40
1700049E17Rik1	0	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0	0
1700049G17Rik	52	35	85	55	92	78	62	40	28
1700049L16Rik	1	1	7	8	4	6	5	5	1
1700056E22Rik	20	26	23	21	12	14	13	18	15
1700057G04Rik	8	7	10	0	7	9	4	2	1
1700061G19Rik	0	2	3	1	1	0	2	3	2
1700063K16Rik	0	0	0	0	0	0	0	0	0
1700064H15Rik	0	0	0	0	0	2	0	0	1
1700065I16Rik	0	0	0	0	0	0	0	0	0
1700066B19Rik	1	1	6	3	7	7	7	8	8
1700066M21Rik	392	288	340	342	464	383	331	328	327
1700067K01Rik	7	13	6	4	8	14	1	4	1
1700067P10Rik	0	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	1	0	0	0	0
1700073E17Rik	3	3	5	2	2	0	2	3	1
1700074P13Rik	0	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0	0
1700084J12Rik	0	0	0	0	0	1	0	0	1
1700084M14Rik	0	0	0	0	0	0	0	0	0
1700086D15Rik	0	0	0	0	0	0	0	0	0
