	GSM4708547	GSM4708548	GSM4708549	GSM4708550	GSM4708551	GSM4708552
0610007P14Rik	271	231	263	377	404	385
0610009B22Rik	232	323	282	599	471	502
0610009L18Rik	55	41	63	71	21	36
0610009O20Rik	973	1083	952	836	860	990
0610010F05Rik	391	381	355	520	417	533
0610010K14Rik	300	266	281	406	358	346
0610011F06Rik	1003	725	855	1647	1221	1385
0610012G03Rik	358	387	314	649	582	613
0610030E20Rik	708	534	580	860	864	858
0610037L13Rik	755	803	760	827	813	825
0610040J01Rik	1460	1166	1297	2058	1461	1900
1110001J03Rik	131	157	119	157	130	162
1110002E22Rik	47	53	73	28	59	40
1110004E09Rik	334	385	335	421	355	409
1110004F10Rik	1016	1009	898	1416	1127	1328
1110008F13Rik	410	423	409	637	701	682
1110008L16Rik	131	154	170	223	199	188
1110008P14Rik	466	522	540	518	531	453
1110012L19Rik	111	116	101	185	138	163
1110017D15Rik	42	31	31	46	39	53
1110025L11Rik	0	0	0	2	0	0
1110032A03Rik	534	487	452	568	446	539
1110032F04Rik	0	0	0	5	2	3
1110034G24Rik	195	233	229	255	225	206
1110037F02Rik	791	725	883	1398	1292	1470
1110038F14Rik	342	311	389	514	395	406
1110051M20Rik	495	496	486	430	357	518
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	190	195	236	447	376	371
1110059G10Rik	173	190	167	274	238	250
1110065P20Rik	597	596	583	561	529	555
1190002N15Rik	471	340	355	1170	797	949
1190003K10Rik	0	0	0	0	0	0
1190005I06Rik	12	3	11	8	4	12
1190007I07Rik	147	109	140	192	151	194
1300017J02Rik	7	6	10	30	13	24
1500009C09Rik	1	3	2	3	7	2
1500009L16Rik	178	183	176	179	104	166
1500011B03Rik	701	616	604	1406	862	1133
1500011K16Rik	218	239	265	306	184	211
1500015O10Rik	0	0	0	4	16	2
1520401A03Rik	27	59	56	22	18	18
1600002H07Rik	129	104	100	158	155	156
1600002K03Rik	242	194	239	174	159	189
1600012H06Rik	479	540	550	1114	764	1001
1600014C10Rik	315	379	303	689	855	726
1600014C23Rik	1	0	0	0	0	0
1600015I10Rik	1	4	0	1	2	1
1600029O15Rik	11	10	27	13	19	28
1700001C02Rik	23	4	20	37	13	18
1700001C19Rik	31	16	10	13	6	22
