	GSM4952876	GSM4952877	GSM4952878	GSM4952879	GSM4952880	GSM4952881	GSM4952882	GSM4952883	GSM4952884	GSM4952885	GSM4952886	GSM4952887	GSM4952888	GSM4952889	GSM4952890	GSM4952891	GSM4952892	GSM4952893	GSM4952894	GSM4952895
0610007P14Rik	123	98	104	103	127	160	114	130	105	127	133	139	158	155	132	123	92	132	92	108
0610009B22Rik	432	400	376	475	492	513	407	529	411	449	485	430	533	446	453	435	386	417	439	414
0610009L18Rik	99	110	104	82	95	113	136	129	107	121	229	121	184	242	151	157	101	183	156	199
0610009O20Rik	4392	4378	4221	4835	5894	5564	5463	6152	4998	5327	6410	5145	6029	5266	5453	6030	5022	5681	5372	5469
0610010F05Rik	294	222	270	308	284	290	297	325	308	301	211	221	276	235	259	198	166	161	191	187
0610010K14Rik	276	251	265	256	347	314	314	337	281	271	567	357	442	465	394	407	293	349	418	366
0610011F06Rik	220	242	179	210	223	277	240	322	236	276	425	250	266	333	196	268	226	322	265	319
0610012G03Rik	1052	1151	993	996	1375	1313	1202	1312	987	1164	2666	1562	2045	1956	1626	1836	1253	1823	1661	1847
0610030E20Rik	338	380	404	528	424	374	450	464	412	406	286	274	350	312	354	274	244	258	290	230
0610037L13Rik	581	659	585	730	696	790	660	831	682	644	1101	731	782	991	742	765	652	774	742	709
0610040J01Rik	67	74	81	82	55	48	55	64	56	66	79	68	52	33	72	64	47	65	56	52
1110001J03Rik	961	860	823	814	1011	1119	993	1103	841	970	2083	1316	1469	1400	1285	1347	938	1409	1267	1410
1110002E22Rik	3072	2766	3512	4164	4169	3264	3922	4696	3555	3620	2963	2753	3294	3235	2964	2200	2254	2189	2123	1973
1110004E09Rik	372	345	343	329	476	458	416	431	367	403	597	444	585	648	477	560	350	578	488	519
1110004F10Rik	1015	1045	1004	1054	1165	1322	1103	1316	1196	1178	1423	1163	1353	1367	1233	1073	961	1145	1135	1075
1110008F13Rik	916	958	846	884	1152	1318	1024	1171	1095	1024	1859	1287	1772	1789	1486	1454	1056	1383	1307	1496
1110008L16Rik	183	162	184	247	227	224	204	280	242	219	201	206	191	259	190	166	208	218	205	200
1110008P14Rik	368	358	338	315	404	536	383	401	295	348	815	522	625	882	542	638	418	566	490	614
1110012L19Rik	234	206	194	206	218	274	215	253	234	214	364	300	306	327	291	312	240	304	300	296
1110017D15Rik	0	2	1	1	1	1	1	0	0	2	1	1	3	0	4	1	2	0	0	3
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	214	255	249	229	278	304	258	308	299	254	391	300	382	369	356	318	220	295	336	323
1110032F04Rik	5	3	5	8	8	7	7	8	10	8	8	13	19	7	9	8	6	10	9	6
1110034G24Rik	443	352	314	376	450	611	444	474	443	478	852	588	755	406	717	656	532	781	616	683
1110037F02Rik	618	555	655	790	822	647	787	849	766	683	483	558	616	546	594	450	534	490	466	496
1110038F14Rik	225	245	212	200	255	312	238	296	247	226	517	282	332	413	314	311	213	351	285	303
1110051M20Rik	232	273	263	242	277	283	267	323	279	229	347	240	288	340	271	280	208	267	224	251
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	255	222	217	210	261	294	243	315	264	280	363	278	336	318	296	267	220	279	302	305
1110059G10Rik	236	204	174	213	203	262	200	258	210	231	280	198	279	263	252	237	181	234	226	217
1110065P20Rik	130	133	120	137	160	161	147	175	152	137	370	212	295	346	208	251	176	231	248	269
1190002N15Rik	889	778	1131	1284	1212	1082	1297	1421	1158	1126	589	655	784	787	664	467	573	472	421	514
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	26	34	21	38	34	40	43	36	23	31	89	70	56	47	56	50	50	56	54	63
1190007I07Rik	332	296	267	309	344	357	334	356	322	344	471	368	366	418	388	368	308	328	313	341
1300017J02Rik	3	2	1	2	7	1	4	3	1	2	0	10	4	13	21	1	19	1	11	2
1500009C09Rik	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
1500009L16Rik	38	38	56	48	58	32	75	72	54	34	43	45	61	160	62	49	40	40	49	62
1500011B03Rik	30	24	24	39	38	63	38	24	48	39	37	33	33	42	46	20	32	45	35	29
1500011K16Rik	404	353	303	335	390	476	386	451	347	380	713	486	556	639	468	518	371	467	518	474
1500015O10Rik	37	54	113	30	35	45	37	61	59	34	78	31	49	54	92	36	22	37	68	38
1520401A03Rik	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
1600002H07Rik	80	47	48	73	44	83	62	85	71	62	74	53	76	60	95	76	50	64	67	62
1600002K03Rik	47	48	37	39	63	51	49	56	32	60	110	60	71	92	55	64	47	62	64	80
1600012H06Rik	339	337	336	377	388	388	415	420	397	406	438	380	437	420	412	356	343	361	338	344
1600014C10Rik	1130	1106	1194	1407	1471	1442	1406	1613	1411	1302	1309	1131	1296	1183	1246	1071	1056	1062	1088	1110
1600014C23Rik	3	1	2	5	4	5	4	2	3	4	10	8	14	27	12	1	10	13	6	9
1600015I10Rik	6	4	0	2	3	2	6	4	1	9	6	2	2	5	2	5	2	7	3	3
1600029O15Rik	2	4	1	2	2	1	1	3	8	0	0	0	3	10	1	3	1	1	2	0
1700001C02Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	2	1	0
1700001C19Rik	1	1	1	3	1	0	1	3	1	0	0	0	1	1	0	1	2	3	1	2
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	1	1	1	0	2	1	2	3	4	0	3	1	0	2	2	4	2	2	2	2
1700001J11Rik	4	4	6	5	10	9	4	7	6	5	6	8	5	5	7	11	3	7	7	4
1700001K19Rik	9	8	19	15	26	9	27	23	12	23	17	15	12	11	10	13	15	11	9	14
1700001L19Rik	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1
1700001O22Rik	0	3	1	1	0	4	2	3	1	3	4	4	4	3	2	8	1	3	4	3
1700001P01Rik	0	1	0	1	1	0	0	2	0	1	1	1	1	0	1	0	4	0	1	0
1700003E16Rik	28	26	46	42	34	43	41	57	42	38	35	38	32	25	26	35	33	34	38	36
1700003F12Rik	2	0	1	3	2	0	1	4	2	4	1	2	2	9	2	2	2	1	2	3
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0
1700007B14Rik	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0
1700007E05Rik	1	5	0	3	1	2	1	1	0	1	0	0	0	4	3	0	2	1	0	0
1700007G11Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007K09Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007K13Rik	1	0	1	2	1	1	1	0	0	0	2	0	3	5	1	0	1	2	1	3
1700008O03Rik	2	3	3	1	0	1	3	8	7	3	2	2	1	4	4	2	5	0	2	2
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	2	1	2	5	3	5	1	1	1	2	5	3	2	6	4	4	2	2	1	0
1700010I14Rik	1	0	3	0	3	0	3	3	3	2	2	3	6	5	4	4	1	0	2	5
1700010N08Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700011E24Rik	0	1	0	2	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0
1700011H14Rik	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
1700011I03Rik	0	1	1	2	5	0	0	2	0	0	0	0	0	1	0	1	2	2	1	0
1700011L22Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
1700011M02Rik	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012L04Rik	1	0	1	0	3	0	0	1	2	1	3	1	3	3	1	3	2	3	1	2
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1700014D04Rik	0	0	0	0	2	0	1	3	1	1	0	0	0	1	0	1	0	0	0	0
1700015E13Rik	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016D06Rik	8	3	1	6	2	4	10	3	8	14	3	2	2	2	0	0	3	5	4	5
1700016H13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
1700016K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	287	301	292	362	412	343	497	506	385	374	421	314	388	539	597	458	386	478	381	476
1700017D01Rik	0	0	0	1	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	1	0	1	0	2	0	0	2	0	0	2	0	1	3	0	1	0	0	0	1
1700018C11Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	1	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0
1700019B03Rik	2	3	1	2	1	1	0	0	0	0	0	0	0	2	0	2	0	4	0	0
1700019D03Rik	49	56	42	57	50	54	67	58	61	55	32	40	50	38	45	39	36	40	30	42
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1700019O17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	1	0	1	2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0
1700020D05Rik	7	4	1	4	5	2	2	4	8	7	1	1	5	0	1	1	0	6	0	1
1700020L24Rik	19	26	30	28	43	36	42	38	35	19	50	20	48	55	35	51	40	55	72	70
1700020N01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	1251	1260	1135	1255	1423	1546	1285	1517	1212	1315	2516	1684	1846	1749	1612	1912	1284	1713	1597	1762
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	1	3	2	2	4	0	3	2	0	0	0	2	0	1	0	0	1	0	0	3
1700023F06Rik	1	0	1	1	1	2	1	0	0	0	1	1	1	1	0	0	0	0	1	0
1700024B05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024J04Rik	3	5	4	8	8	6	7	12	11	9	4	1	2	2	5	1	6	5	3	1
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
