	GSM2087154	GSM2087158	GSM2087156	GSM2087160	GSM2087159	GSM2087161	GSM2087155	GSM2087157
Gm2889	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm10568	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Lypla1	9.125	9.421875	8.984375	9.40625	9.234375	9.328125	9.1796875	9.0859375
Tcea1	8.8359375	8.71875	8.796875	8.6171875	8.6953125	8.78125	8.75	8.6953125
Atp6v1h	7.8984375	8.0625	7.98046875	8.078125	8	8.015625	7.96875	7.9921875
Oprk1	3.28125	3.1640625	3.24609375	3.392578125	3.216796875	3.2890625	3.388671875	3.31640625
Rb1cc1	7.66796875	7.77734375	7.734375	7.6796875	7.7421875	7.52734375	7.796875	7.82421875
Fam150a	3.099609375	3.095703125	3.357421875	3.1875	3.01171875	3.111328125	3.146484375	3.11328125
St18	3.919921875	3.84375	3.857421875	4.1875	3.931640625	4.03125	3.958984375	3.94140625
NA	NA	NA	NA	NA	NA	NA	NA	NA
Pcmtd1	8.5	8.7421875	8.609375	8.640625	8.578125	8.4375	8.59375	8.484375
Ahcy///Gm4737	NA	NA	NA	NA	NA	NA	NA	NA
Gm30414	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm35144///Rnf7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Rrs1	6.2578125	6.40234375	6.73046875	5.8984375	6.32421875	6.21875	6.546875	6.55859375
Adhfe1	10.7890625	10.8671875	10.828125	10.75	10.8515625	10.8046875	10.9140625	11.0546875
Gm6793///Hnrnpa3	NA	NA	NA	NA	NA	NA	NA	NA
3110035E14Rik	4.046875	3.953125	3.912109375	3.849609375	3.947265625	4.01171875	3.9140625	3.9140625
Sgk3	7.30859375	7.10546875	7.44140625	6.86328125	7.109375	6.95703125	7.51953125	7.26953125
Mcmdc2	3.630859375	3.6484375	3.736328125	3.712890625	3.80078125	3.5	3.67578125	3.560546875
Cspp1	6.19140625	5.921875	6.16796875	6	6.09765625	6.1328125	6.12890625	6.22265625
Cspp1	NA	NA	NA	NA	NA	NA	NA	NA
Cspp1	7.10546875	7.0625	7.1796875	7.0703125	6.921875	7.04296875	7.13671875	7.078125
Cspp1	6.2265625	6.02734375	6.19140625	6.30078125	6.078125	6.2421875	6.2421875	6.2109375
Cspp1	6.1328125	6.28125	5.85546875	6.0703125	6.00390625	6	6.6015625	6.19921875
Cspp1	6.09765625	6.12890625	6.1328125	6.04296875	6.19921875	5.95703125	6.3828125	6.16015625
Cspp1	6.67578125	6.38671875	6.54296875	6.36328125	6.58203125	6.328125	6.8125	6.4609375
