	GSM2345472	GSM2345460	GSM2345464	GSM2345473	GSM2345470	GSM2345461	GSM2345466	GSM2345463	GSM2345469	GSM2345471	GSM2345462	GSM2345465	GSM2345468	GSM2345467	GSM2345459
0610007P14Rik	255	214	166	91	163	115	168	146	239	77	187	136	303	147	194
0610009B22Rik	468	343	291	213	206	293	370	256	367	155	239	349	381	211	388
0610009L18Rik	73	29	41	26	52	28	38	52	37	13	31	39	62	70	48
0610009O20Rik	1124	593	751	426	834	430	818	428	858	382	410	780	1087	769	548
0610010F05Rik	245	544	326	307	102	378	629	382	492	260	325	723	208	107	493
0610010K14Rik	318	258	263	98	220	153	273	201	282	84	143	222	349	253	286
0610011F06Rik	1364	663	1172	526	1056	799	1097	579	1073	437	394	968	1454	1150	836
0610012G03Rik	262	142	206	99	224	156	175	211	188	93	165	143	357	264	177
0610030E20Rik	82	212	94	90	66	120	160	234	180	96	160	180	108	66	160
0610037L13Rik	680	410	481	249	475	299	438	299	456	203	215	462	624	456	343
0610040J01Rik	3342	1369	2936	1418	2118	1291	2909	1157	2456	1094	1176	2345	2857	2148	1683
1110001J03Rik	178	114	130	57	129	80	106	49	107	35	38	87	200	156	111
1110002E22Rik	31	115	21	9	15	37	19	23	46	14	40	38	24	8	55
1110004E09Rik	304	210	433	164	209	249	366	289	339	91	168	365	323	207	303
1110004F10Rik	1174	1181	1250	579	672	989	1324	1142	1198	462	746	1329	1145	747	1247
1110008F13Rik	472	289	367	163	307	297	301	360	434	148	262	268	600	400	344
1110008L16Rik	151	147	158	63	109	201	146	172	220	69	101	166	164	109	151
1110008P14Rik	631	449	594	200	572	331	471	340	379	164	226	436	669	619	471
1110012L19Rik	207	130	126	83	165	111	121	125	197	58	142	127	221	172	179
1110017D15Rik	5	20	12	4	15	14	9	30	8	2	13	12	9	15	19
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	544	319	397	255	320	299	391	365	414	195	190	391	413	287	351
1110032F04Rik	0	0	3	0	0	2	0	4	0	0	10	3	0	0	3
1110034G24Rik	233	119	118	89	188	58	113	69	149	69	74	108	204	205	78
1110037F02Rik	630	1198	693	599	339	754	1130	750	1149	448	737	1099	619	332	1155
1110038F14Rik	301	202	227	111	277	136	204	199	243	122	116	170	309	307	244
1110051M20Rik	622	372	374	205	376	282	395	272	395	189	179	369	447	396	285
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	254	247	184	154	153	154	246	188	287	124	163	221	273	151	223
1110059G10Rik	66	153	82	77	53	96	116	152	132	54	80	110	78	55	118
1110065P20Rik	740	411	762	194	543	344	626	366	475	197	231	491	750	692	440
1190002N15Rik	268	595	370	281	113	482	647	508	618	216	534	700	283	165	664
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1190005I06Rik	6	4	9	3	6	4	4	0	7	0	11	3	17	8	2
1190007I07Rik	80	54	53	43	54	35	55	47	75	26	42	62	73	63	55
1300017J02Rik	1	7	2	0	0	3	6	2	0	1	9	32	3	0	2
1500009C09Rik	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0
1500009L16Rik	409	311	498	148	278	246	402	292	312	140	312	428	388	309	330
1500011B03Rik	931	508	769	344	789	699	702	532	765	258	496	792	1094	799	482
1500011K16Rik	190	104	131	78	108	88	131	92	154	76	90	118	178	133	126
1500015O10Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1520401A03Rik	4	16	3	2	1	1	8	8	3	1	0	5	0	0	7
1600002H07Rik	102	84	74	48	57	36	79	58	92	35	35	82	90	49	87
1600002K03Rik	162	62	92	49	111	56	84	55	89	42	47	77	112	147	62
1600012H06Rik	359	426	300	271	170	283	398	332	370	222	288	399	277	197	444
1600014C10Rik	637	225	302	208	337	145	334	142	418	173	212	283	469	340	288
1600014C23Rik	0	0	1	0	1	1	2	1	1	0	1	0	0	1	0
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	1	6	0	1	0	5	1	3	3	0	2	2	4	0	3
1700001C02Rik	5	9	7	6	3	5	5	17	4	6	4	2	4	4	11
1700001C19Rik	12	15	15	6	8	15	26	21	20	9	15	24	16	18	20
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0
1700001J11Rik	3	9	0	3	0	2	1	1	1	3	1	2	1	1	4
1700001K19Rik	2	3	5	7	2	3	12	10	7	6	8	14	6	2	9
1700001L19Rik	5	3	4	1	0	2	0	1	3	0	0	3	1	3	0
1700001O22Rik	0	1	0	1	4	0	2	1	4	0	0	1	6	3	0
1700001P01Rik	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
1700003E16Rik	22	4	5	12	6	5	6	9	27	5	3	4	30	8	9
1700003F12Rik	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003N22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700006E09Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700007B14Rik	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
1700007E05Rik	0	2	2	0	0	1	7	6	4	2	0	7	1	1	0
1700007G11Rik	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0
1700007K09Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1700007K13Rik	29	28	26	12	38	28	38	41	22	6	38	21	36	30	37
1700008O03Rik	4	4	4	3	7	11	1	6	2	1	8	5	5	11	8
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	1	1	0	0	0	2	2	2	4	1	1	3	3	3	3
1700010I14Rik	30	52	19	13	9	31	30	37	27	15	13	33	26	15	37
1700010N08Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011H14Rik	2	47	36	6	3	45	37	19	21	4	4	38	25	7	43
1700011I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011M02Rik	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	1	1	1	0	2	3	1	1	1	0	0	1	1	0	2
1700012B09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012L04Rik	4	0	0	0	3	0	0	0	0	0	0	3	2	2	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	12	5	7	3	11	6	4	4	7	4	7	7	2	10	2
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	0	3	1	2	0	2	4	0	2	0	0	2	0	0	3
1700015E13Rik	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
1700015G11Rik	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0
1700016C15Rik	0	0	2	0	0	0	0	0	1	0	2	0	0	0	2
1700016D06Rik	2	3	1	2	1	1	2	8	1	2	1	8	0	2	2
1700016H13Rik	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1
1700016K19Rik	2	14	10	3	2	4	6	9	3	1	12	6	1	3	12
1700017B05Rik	121	146	164	63	90	156	182	217	156	41	342	209	204	103	208
1700017D01Rik	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018M17Rik	0	4	1	2	0	0	1	1	1	0	4	4	1	2	1
1700019A02Rik	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
1700019B03Rik	0	2	1	0	1	2	0	3	0	0	0	5	0	0	1
1700019D03Rik	340	238	272	382	203	215	530	190	645	324	458	563	290	220	228
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1
1700020D05Rik	0	2	0	1	1	0	1	2	2	1	1	0	1	0	0
1700020L24Rik	0	0	1	0	1	1	2	6	0	1	0	0	2	0	1
1700020N01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	93	101	90	60	64	54	113	92	108	47	71	96	118	84	104
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	2	1	4	2	0	0	0	3	2	0	1	3	0	0	0
1700023F06Rik	192	92	144	68	197	95	141	112	110	49	104	121	180	239	102
1700024B05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
1700024J04Rik	1	7	0	1	0	1	2	3	2	3	2	1	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700024P16Rik	2	24	2	2	0	6	1	13	1	3	1	4	0	0	26
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	1	2	0	1	1	0	2	1	1	0	0	0	0	0	1
1700025F22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	61	173	79	42	33	91	104	134	109	51	139	124	64	27	152
1700028B04Rik	1	3	1	2	2	0	3	1	0	1	0	1	0	0	2
1700028J19Rik	3	7	3	5	7	9	2	6	12	7	2	7	11	10	12
1700028K03Rik	2	25	0	0	1	1	2	4	4	2	1	9	2	7	9
1700028P14Rik	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
1700029F12Rik	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0
1700029H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029I15Rik	27	29	20	14	15	10	30	18	30	13	9	23	30	21	23
1700029J07Rik	70	123	67	53	32	55	58	110	76	45	29	75	58	36	66
1700029P11Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700030C10Rik	34	15	19	15	16	4	23	11	31	7	2	16	32	24	8
1700030J22Rik	29	25	11	13	8	20	21	15	22	19	21	18	31	14	19
1700030K09Rik	149	134	72	98	107	69	124	73	178	80	82	89	156	123	137
1700031F05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034I23Rik	0	2	0	0	1	0	2	2	0	0	0	0	0	0	3
1700034J05Rik	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1
1700034O15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	158	76	96	69	121	46	84	77	110	64	57	82	138	101	82
1700037H04Rik	158	212	200	77	175	182	184	271	140	73	123	193	257	182	209
1700039E15Rik	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040L02Rik	69	58	71	35	31	33	62	37	63	29	18	56	41	33	45
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047I17Rik2	161	167	155	78	42	110	241	156	141	55	278	155	156	74	140
1700048O20Rik	3	22	1	1	6	11	7	15	6	2	10	12	10	5	33
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049G17Rik	80	162	32	73	33	47	62	52	104	96	121	65	60	50	103
1700049L16Rik	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
1700056E22Rik	63	103	75	29	33	63	72	67	46	22	55	60	46	44	107
1700057G04Rik	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1
1700061G19Rik	0	3	0	2	5	2	5	4	1	4	39	3	1	0	1
1700063K16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064H15Rik	0	0	1	1	1	1	2	0	0	1	0	0	0	0	0
1700065I16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700066B19Rik	12	5	3	3	3	0	3	0	3	0	1	2	4	3	3
1700066M21Rik	55	130	45	64	15	58	89	45	66	46	66	102	57	16	137
1700067K01Rik	4	0	3	2	6	1	3	0	6	2	6	2	10	4	1
1700067P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700071K01Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700073E17Rik	0	1	2	0	0	0	0	0	0	1	0	1	0	0	1
1700074P13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1700084J12Rik	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0
1700084M14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700086D15Rik	4	4	6	2	0	0	6	10	2	0	2	10	0	0	0
1700086L19Rik	1206	1771	1819	638	881	1852	1962	1842	2003	676	403	2261	1515	1051	1612
1700088E04Rik	147	126	152	43	120	134	119	130	119	57	207	76	172	115	122
1700091H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092M07Rik	4	2	0	1	2	0	3	0	0	2	3	0	5	0	0
1700093K21Rik	0	5	2	1	0	0	1	3	1	0	1	3	0	1	0
1700102P08Rik	12	5	4	3	4	3	6	1	9	7	9	7	10	7	5
1700109H08Rik	2	42	6	9	3	7	20	22	4	11	5	22	4	4	12
1700110I07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700112E06Rik	2	0	0	1	1	2	2	6	4	0	0	4	6	0	1
1700113H08Rik	1	2	0	0	0	0	1	1	1	0	0	0	1	0	3
1700122O11Rik	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
1700123I01Rik	0	2	0	0	0	0	4	2	2	2	4	2	0	0	0
1700123K08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700123L14Rik	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1
1700123O20Rik	348	218	141	130	202	145	193	152	215	107	217	164	291	213	270
1700125H20Rik	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
1700128F08Rik	3	14	1	4	0	7	8	11	8	7	4	7	2	0	3
1700129C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810009A15Rik	111	98	59	71	103	60	95	70	113	27	67	80	164	100	124
1810009J06Rik	0	0	6	1	0	591	0	18	19	0	19	8	11	0	0
1810010H24Rik	82	43	85	39	40	56	70	69	58	24	49	79	69	68	40
1810011H11Rik	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1
1810011O10Rik	100	42	59	35	34	29	73	100	111	29	11	72	87	74	38
1810013L24Rik	526	832	604	351	294	565	874	613	649	257	512	894	440	381	714
1810018F18Rik	5	0	1	1	2	3	0	0	18	13	0	1	16	3	1
1810022K09Rik	158	200	158	121	72	158	195	185	226	95	142	198	145	82	196
1810024B03Rik	27	17	26	16	26	26	27	29	22	9	15	18	28	23	15
1810026J23Rik	1485	1093	1474	603	773	1042	1531	1299	1281	497	924	1626	1422	867	1080
1810030O07Rik	557	463	340	303	240	284	434	342	526	222	250	454	485	276	403
1810032O08Rik	53	55	45	18	33	37	43	51	51	12	34	53	48	34	52
1810037I17Rik	1044	768	883	388	775	616	773	618	803	320	421	710	925	728	770
1810041L15Rik	55	399	104	40	49	241	104	207	164	43	490	133	122	35	429
1810043G02Rik	642	471	730	249	481	498	652	580	507	213	514	586	666	608	407
1810043H04Rik	181	87	118	51	126	88	107	86	142	51	70	94	194	164	93
1810046K07Rik	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
1810049J17Rik	111	82	88	51	20	39	146	85	80	28	49	115	118	36	137
1810055G02Rik	90	135	196	48	63	105	265	155	122	60	74	239	128	95	104
