	GSM2517014	GSM2517015	GSM2517016	GSM2517017	GSM2517018	GSM2517019	GSM2517020	GSM2517021	GSM2517022	GSM2517023	GSM2517024	GSM2517025
0610005C13Rik	23	8	10	3	6	28	17	24	12	21	23	11
0610006L08Rik	0	0	0	0	1	1	0	0	0	0	0	0
0610009B22Rik	130	55	41	26	289	155	135	169	145	202	95	127
0610009E02Rik	28	13	26	8	31	97	73	141	39	82	39	96
0610009L18Rik	18	18	11	10	12	22	21	25	4	17	10	22
0610010K14Rik	142	138	102	51	257	131	163	233	118	115	105	107
0610012D04Rik	0	0	0	0	0	1	2	0	0	0	0	0
0610012G03Rik	124	141	81	53	313	111	141	142	110	122	118	130
0610025J13Rik	1	0	0	0	1	0	0	4	0	0	0	1
0610030E20Rik	195	193	282	136	298	646	379	351	220	418	243	331
0610031O16Rik	1	0	1	0	0	2	0	0	2	0	0	0
0610033M10Rik	0	0	0	0	0	0	1	0	1	0	0	3
0610038B21Rik	1	0	1	1	2	4	4	0	0	2	1	3
0610039K10Rik	12	7	5	2	1	1	11	2	5	3	1	6
0610040B10Rik	19	20	16	10	29	72	55	52	24	54	57	52
0610040F04Rik	4	2	0	2	0	0	0	2	2	0	1	1
0610040J01Rik	1178	1173	968	557	311	560	572	1174	739	808	713	1039
0610043K17Rik	1	1	0	3	1	4	1	3	2	2	1	0
0710001A04Rik	2	0	0	1	0	6	1	1	0	6	0	0
1010001B22Rik	3	0	2	1	3	5	2	0	1	1	2	3
1100001I12Rik	0	0	0	0	0	0	1	1	1	1	1	0
1110002E22Rik	17	27	41	18	6	14	17	10	15	16	10	8
1110002J07Rik	0	1	1	2	5	1	1	2	1	2	1	4
1110002L01Rik	101	26	17	16	72	244	126	219	132	192	109	133
1110002O04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110004F10Rik	580	762	527	342	755	556	542	814	415	650	459	508
1110006O24Rik	19	5	4	4	19	15	19	23	30	29	21	34
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110013H19Rik	10	3	2	1	10	8	6	12	18	15	11	12
1110015O18Rik	2	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	11	10	12	5	3	15	16	24	11	15	8	5
